Stationscode;pH;Temp;Con;O_diss;N_NH;NO;SO;PO;DBO5;Classe;Stations;X;Y;Altitude en m;time_column
M1.1;6.85;11.1;455;8.5;0,022;2,76;53;0,01;1,75;1;Ait boulmane;506388.899;223813.71;1650;
M2.1;7.08;12.3;450;7.55;0,022;1,95;71;0,011;1,8;1;Ait OhaOhaki;508378.875;225419.701;1640;
M3.1;7.01;14.3;449;7.21;0,021;3,12;63;0,013;1,89;1;Source Arbalou;510270.048;231109.507;1670;
M4.1;7.71;16.3;523;7.25;0,065;2,45;69;0,015;2,05;1;Krouchene=Irhdis;521267.473;239017.267;1616;
M5.1;7.14;22.3;683;6.35;0,05;4,13;160;1,51;6,05;4;Boumia;528157.842;235764.271;1515;
M6.1;6.74;21.3;1972;3.6;2,65;97,61;199;1,951;25,55;3;Zaïda;541119.868;246884.595;1455;
M7.1;8.11;11.1;435;9.8;0,012;1,12;45;0,009;0,7;1;AnzarOufounas;522710.665;203771.489;1895;
M8.1;7.47;13.5;413;8.55;0,011;1,35;51;0,015;1,15;1;Aval AnzarOufounas;523517.135;209213.863;1780;
M9.1;7.45;12.5;415;8.4;0,008;2,21;55;0,011;0,5;1;Anzegmir avant barrage;529513.51;213616.77;1702;
M10.1;7.18;19;551;7.15;0,012;2,45;53;0,016;2,01;1;Anzegmir Amont;545371.311;238557.759;1455;
M11.1;7.51;25;943;6.4;0,031;4,54;110;0,91;6,05;2;Tamdafelt;608563.842;254198.713;985;
M12.1;7;23;1350;4.65;1,55;53,13;455;2,507;15,3;3;Missour;632589.028;273722.851;870;
M13.1;7.42;24.5;1876;6.51;0,118;10,11;290;0,911;8,05;4;Outat Al Haj;657696.741;304862.154;770;
M14.1;7.37;22.7;1709;7.45;0,055;7,12;312;0,133;5,45;2;Tindint;667765.779;340891.631;640;
M15.1;7.32;15.5;1507;7.41;0,018;6,75;210;0,81;5,05;2;Moulouya Amont Melloulou;688527.58;403762.245;362;
M16.1;7.11;23.3;997;6.65;0,85;48,5;295;1,705;7,3;3;Moulouya Aval Melloulou;691373.449;406608.844;355;
M17.1;7.21;15.5;1395;7.51;0,019;12,45;370;0,019;3,9;1;Moulouya Amont Za;716153.504;442463.459;230;
M18.1;7.45;14.5;1200;7.55;0,025;14,57;275;0,705;7,55;2;Moulouya aval Za;717261.981;442636.19;222;
M19.1;8.21;13.5;1245;7.45;0,028;9,55;310;0,871;5,87;2;Sebra;750073.689;479499.227;60;
M20.1;7.61;19.5;1695;8.85;0,09;2,76;209;0,018;0,35;1;Safsaf;752451.688;481921.171;50;
M21.1;7.75;18.7;1760;8.51;0,029;9,7;55;0,715;1,9;2;Pont Hassan II;770940.249;498404.754;9;
M22.1;7.85;19.5;2239;8.41;0,011;9,85;27;0,15;3,27;1;Pré-Estuaire;774425.807;503613.795;3;
M1.2;6.9;13.5;475;8.07;0,021;2,86;55;0,013;1,81;1;Ait boulmane;506388.899;223813.71;1650;
M2.2;7.1;14.1;455;7.63;0,024;1,87;69;0,013;1,91;1;Ait OhaOhaki;508378.875;225419.701;1640;
M3.2;7.09;17.5;453;7.12;0,025;3,21;67;0,015;1,97;1;Source Arbalou;510270.048;231109.507;1670;
M4.2;7.77;18.1;545;7.5;0,068;2,76;75;0,019;2,12;1;Krouchene=Irhdis;521267.473;239017.267;1616;
M5.2;7.11;25.2;1700;6.1;0,06;4,11;170;1,59;6,9;4;Boumia;528157.842;235764.271;1515;
M6.2;6.93;23.5;1970;3.15;3,26;101,21;225;2,54;33,15;3;Zaïda;541119.868;246884.595;1455;
